TileNumber,RecruitsAliveMarch,SurvivorsJuly,PercentSurvival,Year,InExperiment,Block,Plot,Cage,Nutrients,CoralCommunity
7,2,0,0,2017,No,NA,NA,NA,NA,NA
35,3,1,33.33333333,2017,No,NA,NA,NA,NA,NA
51,2,1,50,2017,No,NA,NA,NA,NA,NA
52,1,1,100,2017,No,NA,NA,NA,NA,NA
53,6,1,16.66666667,2017,No,NA,NA,NA,NA,NA
91,1,1,100,2017,No,NA,NA,NA,NA,NA
109,13,3,23.07692308,2017,No,NA,NA,NA,NA,NA
112,5,0,0,2017,No,NA,NA,NA,NA,NA
123,4,0,0,2017,No,NA,NA,NA,NA,NA
146,3,0,0,2017,No,NA,NA,NA,NA,NA
149,2,1,50,2017,No,NA,NA,NA,NA,NA
176,13,3,23.07692308,2017,No,NA,NA,NA,NA,NA
2,6,0,0,2019,Yes,B,4,2x2,Ambient,Intact
7,4,0,0,2019,Yes,A,4,3x3,Enriched,Disturbed
8,3,0,0,2019,Yes,C,4,3x3,Enriched,Disturbed
17,2,0,0,2019,Yes,C,2,1x1,Ambient,Disturbed
23,4,0,0,2019,Yes,C,4,1x1,Enriched,Intact
25,1,0,0,2019,Yes,D,2,open,Enriched,Disturbed
31,9,0,0,2019,Yes,B,3,1x1,Enriched,Disturbed
35,3,0,0,2019,Yes,B,1,open,Enriched,Intact
44,1,0,0,2019,Yes,A,2,1x1,Enriched,Intact
48,5,0,0,2019,Yes,C,3,1x1,Ambient,Disturbed
51,4,1,25,2019,Yes,B,4,1x1,Ambient,Disturbed
52,1,0,0,2019,Yes,C,2,3x3,Enriched,Disturbed
54,2,0,0,2019,Yes,D,2,2x2,Enriched,Intact
55,5,2,40,2019,Yes,D,4,1x1,Enriched,Intact
57,2,0,0,2019,Yes,C,3,open,Enriched,Intact
61,2,0,0,2019,Yes,B,4,open,Ambient,Intact
73,3,0,0,2019,Yes,C,4,2x2,Enriched,Intact
76,2,0,0,2019,Yes,B,4,3x3,Ambient,Intact
84,1,0,0,2019,Yes,C,2,2x2,Enriched,Intact
88,5,0,0,2019,Yes,B,3,2x2,Enriched,Intact
89,1,0,0,2019,Yes,B,3,3x3,Ambient,Intact
90,1,0,0,2019,Yes,C,1,open,Enriched,Disturbed
101,6,0,0,2019,Yes,D,4,2x2,Enriched,Disturbed
105,2,0,0,2019,Yes,A,3,open,Ambient,Disturbed
109,1,0,0,2019,Yes,D,3,2x2,Enriched,Intact
121,3,0,0,2019,Yes,C,1,1x1,Enriched,Intact
122,1,0,0,2019,Yes,A,2,open,Enriched,Disturbed
124,1,0,0,2019,Yes,D,4,3x3,Enriched,Disturbed
130,2,0,0,2019,Yes,A,3,2x2,Ambient,Intact
132,2,0,0,2019,Yes,A,1,3x3,Ambient,Disturbed
135,3,0,0,2019,Yes,C,1,2x2,Ambient,Intact
136,1,0,0,2019,Yes,A,1,1x1,Enriched,Disturbed
138,1,0,0,2019,Yes,D,4,open,Ambient,Disturbed
143,3,0,0,2019,Yes,A,2,2x2,Enriched,Intact
